POINT_X,POINT_Y,SLOPE,TWI,ASPECT,ECA_SHALLOW,NDVI,CWSI
209855.5375,626349.656,5.4074,6.2124,230,22.6948,0.3269,NA
209862.5602,626349.4418,6.0478,5.808,227,24.2987,0.3655,1.8326
209856.9118,626348.9099,5.084,6.1996,229,23.1048,0.3896,NA
209850.3482,626349.1388,4.3918,6.8125,236,20.2149,0.4587,0.8034
209844.2408,626349.0229,4.2572,6.966,237,17.9286,0.4333,1.102
209837.7395,626349.2558,4.145,6.9689,235,17.7921,0.426,0.8132
209831.7016,626349.0127,3.7158,6.9243,231,20.3259,0.4208,NA
209825.7133,626348.8531,4.0272,6.8803,230,27.2424,0.4463,NA
209824.3404,626349.5984,4.0412,6.8707,230,28.3221,0.5335,0.6344
209819.0245,626349.0675,3.4936,6.7231,230,38.0758,0.4689,1.535
209806.8993,626348.8228,3.5637,7.0903,261,48.7802,0.4991,0.5378
209805.5391,626349.5613,3.457,7.186,261,46.2305,0.4923,NA
209800.3869,626348.9826,3.3533,7.2367,265,40.0978,0.5281,0.1967
209793.6977,626349.1844,3.6513,7.3609,266,27.6553,0.5096,NA
209787.5613,626349.0802,4.9889,6.8602,275,20.9313,0.5345,0.4039
209775.4755,626348.8141,4.6358,7.1504,279,21.1325,0.578,NA
209774.1353,626349.5418,4.361,7.3154,280,22.1217,0.4732,NA
209769.0645,626348.8946,4.0345,7.3704,273,28.8741,0.5726,NA
209767.7462,626349.6102,4.1025,7.4028,276,31.2291,0.5241,NA
209762.372,626349.1006,3.619,8.5464,287,40.3837,0.4588,1.2456
209756.6159,626348.8118,3.5092,9.6713,295,46.641,0.5192,1.0326
209755.2772,626349.5385,3.4777,9.9794,295,47.0767,0.48,NA
209749.5525,626349.2328,3.5114,10.686,296,45.496,0.5254,0.6979
209743.5306,626349.0882,4.7693,10.4916,303,37.8098,0.406,NA
209737.2706,626349.0731,5.3115,9.038,295,29.5762,0.5921,0.3137
209851.7093,626348.3999,4.3198,6.5915,238,21.0061,0.4084,0.8874
209845.5908,626348.2899,4.1173,7.0286,241,18.1933,0.4076,NA
209833.0467,626348.2823,3.6927,7.0475,231,19.1905,0.5014,NA
209820.3468,626348.3496,3.3868,7.0328,229,37.1374,0.4392,0.9611
209814.0635,626348.3593,4.0492,6.4265,251,47.2167,0.4543,NA
209801.7343,626348.2512,3.1765,7.4241,260,44.4288,0.4382,NA
209795.0396,626348.456,3.6509,7.2393,266,31.6552,0.5608,0.2004
209788.8883,626348.3599,4.6183,6.8887,271,23.0035,0.6084,NA
209782.3464,626348.4728,5.3807,6.5778,274,19.6874,0.5111,0.2475
209763.7056,626348.3766,3.8614,8.2986,285,37.8629,0.495,NA
209750.8986,626348.5019,3.426,10.7698,296,46.7091,0.5013,0.5825
209744.9054,626348.3419,4.285,10.5196,304,39.8703,0.4329,0.9471
209738.6171,626348.3422,5.3454,9.1642,296,32.0292,0.5603,0.4801
209858.2864,626348.1638,4.7818,6.351,231,23.7829,0.3986,1.0185
209853.0704,626347.661,4.4094,6.5398,239,21.474,0.4909,0.5424
209827.0863,626348.1078,3.9621,6.9563,232,25.0914,0.4627,NA
209821.6694,626347.6317,3.3274,7.227,232,34.6352,0.4843,NA
209815.4236,626347.621,3.6935,6.7412,248,45.9177,0.6137,2.14
209808.2595,626348.0845,3.7364,7.021,265,50.4948,0.5047,NA
209796.3812,626347.7275,3.6067,7.2251,266,36.1391,0.4739,0.2143
209790.2153,626347.6394,4.2132,6.9298,267,25.7725,0.4965,NA
209783.6722,626347.753,5.2331,6.7317,274,20.363,0.4935,0.3075
209776.8157,626348.0866,4.7759,7.0805,281,20.8961,0.4671,0.8944
209770.3828,626348.1789,4.2743,7.3677,274,26.793,0.5535,0.5497
209765.0393,626347.6526,3.6827,8.5049,284,35.2503,0.4925,NA
209757.9545,626348.0851,3.3678,9.8395,294,45.3981,0.5433,NA
209752.2446,626347.7712,3.3862,10.8443,296,47.832,0.5055,NA
209846.9406,626347.5572,3.9803,6.9815,243,18.3688,0.4691,0.9214
209834.3919,626347.5522,3.7415,7.1922,234,18.2777,0.4642,1.3008
209746.2801,626347.5957,3.6688,10.5411,305,42.7781,0.4316,NA
209803.0815,626347.5198,3.2489,7.549,263,48.2904,0.4508,0.6035
209771.701,626347.4633,4.5204,7.2305,276,25.0462,0.6953,NA
209859.6607,626347.4177,4.6556,6.3385,235,24.3675,0.4738,NA
209854.4315,626346.9221,4.4572,6.4911,237,22.4057,0.5107,NA
209841.8029,626347.0498,4.1354,7.1556,240,17.0537,0.4277,NA
209835.7371,626346.8218,3.9222,7.1482,237,17.57,0.4798,0.5481
209828.4591,626347.3624,3.8338,7.0076,234,23.1575,0.4686,NA
209822.9918,626346.9138,3.5578,7.1913,233,32.068,0.4621,NA
209809.6198,626347.346,3.7618,6.9299,268,51.613,0.4504,NA
209797.723,626346.9991,3.427,7.316,264,40.8542,0.473,NA
209784.998,626347.0333,5.0246,6.7518,271,21.6621,0.5199,0.4321
209778.156,626347.359,5.1504,7.0025,280,20.4818,0.5282,NA
209766.3728,626346.9286,3.622,8.2464,281,32.7132,0.4372,NA
209759.2932,626347.3583,3.3893,10.0211,294,44.4656,0.4671,1.5273
209753.5908,626347.0404,3.3638,10.6548,296,48.0536,0.5193,1.0346
209747.6548,626346.8494,3.5003,10.9222,304,45.2194,0.4358,0.7908
209741.31,626346.8804,5.0492,9.2525,301,37.7118,0.553,NA
209861.0352,626346.6715,4.4455,6.3273,237,24.8213,0.3513,1.9646
209829.832,626346.6171,3.5242,7.1236,232,21.4781,0.4131,0.9315
209810.9799,626346.6075,3.6666,7.0815,268,52.0092,0.4814,NA
209804.4288,626346.7884,3.4756,7.3616,265,51.4593,0.4319,NA
209779.4963,626346.6314,5.2549,6.9182,278,20.4672,0.4055,NA
209849.6405,626346.0916,3.8075,6.8372,242,19.8384,0.4769,0.4695
209844.512,626345.5792,4.2171,6.8703,244,17.4268,0.4741,0.6706
209843.1575,626346.3144,4.1776,7.0915,243,17.1665,0.4567,1.3781
209837.0823,626346.0916,3.973,7.1745,238,17.2332,0.5666,NA
209831.205,626345.8717,3.5262,7.2232,232,20.0637,0.4357,NA
209825.6365,626345.478,3.2929,7.3723,241,28.5033,0.5129,NA
209824.3141,626346.196,3.4073,7.3865,236,29.5414,0.4328,0.6181
209818.1434,626346.1443,3.0444,7.3057,237,41.8957,0.43,0.8943
209812.3402,626345.8691,3.5852,7.0408,262,51.6474,0.4776,0.6648
209805.7762,626346.057,3.6014,7.3593,269,53.4273,0.4738,0.4742
209800.4065,626345.5423,3.2671,7.7034,263,48.501,0.48,0.5314
209799.0648,626346.2708,3.2863,7.5232,261,45.4981,0.4656,NA
209794.1961,626345.4784,3.7152,7.3258,258,36.3336,0.4588,NA
209792.8691,626346.1987,3.7194,7.1817,261,31.9281,0.6082,NA
209787.6495,626345.5939,4.7035,6.9795,267,25.1206,0.5697,NA
209786.3237,626346.3135,4.9084,6.8408,269,22.7241,0.5995,NA
209780.8364,626345.9038,5.4069,6.8516,275,20.9034,0.397,NA
209774.3376,626346.032,4.7272,7.2331,279,23.2631,0.6335,0.348
209769.0401,626345.4806,3.7788,8.3744,281,29.3448,0.4622,1.3565
209767.7065,626346.2047,3.6274,8.2175,279,31.5139,0.4902,0.6021
209761.9706,626345.9048,3.5271,9.8117,293,39.8407,0.5124,0.8977
209756.283,626345.5789,3.3408,10.8287,295,46.9352,0.5211,0.7862
209754.937,626346.3097,3.3533,10.7506,295,47.5539,0.5821,NA
209749.0296,626346.1031,3.4036,10.8881,303,46.9894,0.4504,NA
209742.6563,626346.1495,4.6444,9.4094,302,39.6308,0.4799,NA
209857.1537,626345.4443,4.2113,6.6275,241,24.1871,0.3966,1.1715
209819.5036,626345.406,2.7829,7.8483,241,40.9995,0.4455,NA
209744.0028,626345.4185,4.1711,9.3714,302,42.3519,0.5342,NA
209737.6642,626345.4459,6.3456,8.6714,286,35.122,0.5854,0.6915
209850.9904,626345.3587,3.8622,6.8368,243,20.8299,0.4572,1.2263
209838.4274,626345.3613,4.0068,7.2584,240,16.8378,0.4633,NA
209807.1234,626345.3255,3.6848,7.4105,271,55.2666,0.562,NA
209750.4044,626345.3568,3.3239,10.832,302,47.9425,0.4808,NA
209852.3403,626344.6257,3.8659,6.8599,244,21.4327,0.5448,0.4687
209845.8665,626344.8439,4.1705,6.8162,244,17.9301,0.5347,NA
209839.7727,626344.6312,3.9968,7.2117000000000004,242,16.6514,0.4628,NA
209832.578,626345.1265,3.6451,7.3863,235,19.467,0.4116,0.8323
209826.9589,626344.7602,3.635,7.4891,239,26.1785,0.5108,0.2603
209820.8636,626344.6676,2.7078,8.1453,249,38.3834,0.4432,0.5408
209815.0607,626344.3924,2.9542,7.9013,254,49.0351,0.4266,0.7585
209813.7004,626345.1308,3.2765,7.4304,259,50.6248,0.4737,NA
209801.7483,626344.8139,3.2799,7.6941,265,50.9272,0.4364,NA
